1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022,image,name,color,team_name
,,,,,,,,,,,33.0,19.0,19.0,32.0,43.0,42.0,55.0,48.0,45.0,39.0,39.0,41.0,36.0,33.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cincinnati Royals
,,,,,,,,,,,,,,,,,,,,,,,,15.0,23.0,32.0,29.0,40.0,49.0,43.0,43.0,30.0,37.0,28.0,15.0,23.0,28.0,36.0,29.0,31.0,42.0,42.0,33.0,57.0,54.0,47.0,43.0,47.0,41.0,47.0,22.0,32.0,30.0,29.0,17.0,35.0,42.0,50.0,50.0,45.0,66.0,61.0,19.0,21.0,24.0,33.0,53.0,57.0,51.0,19.0,19.0,22.0,44.0,43.0,https://cdn.ssref.net/req/202301032/tlogo/bbr/CLE.png,Cleveland Cavaliers,#E06910,Cleveland Cavaliers
30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.ssref.net/req/202301032/tlogo/bbr/CLR.png,Cleveland Rebels,#006BB6,Cleveland Rebels
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,28.0,38.0,43.0,44.0,44.0,55.0,53.0,47.0,28.0,22.0,11.0,13.0,36.0,26.0,24.0,20.0,19.0,40.0,53.0,57.0,60.0,52.0,58.0,60.0,67.0,51.0,50.0,55.0,57.0,36.0,41.0,49.0,50.0,42.0,33.0,33.0,43.0,42.0,52.0,34.0,https://cdn.ssref.net/req/202301032/tlogo/bbr/DAL.png,Dallas Mavericks,#005082,Dallas Mavericks
20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detroit Falcons
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,48.0,47.0,30.0,37.0,46.0,45.0,38.0,52.0,47.0,37.0,54.0,43.0,20.0,24.0,36.0,42.0,41.0,35.0,21.0,11.0,14.0,35.0,40.0,27.0,17.0,43.0,49.0,44.0,45.0,50.0,54.0,53.0,50.0,38.0,57.0,36.0,30.0,33.0,40.0,54.0,46.0,47.0,48.0,46.0,https://cdn.ssref.net/req/202301032/tlogo/bbr/DEN.png,Denver Nuggets,#003399,Denver Nuggets
,,,,,,,,,,,33.0,28.0,30.0,34.0,37.0,34.0,23.0,31.0,22.0,30.0,40.0,32.0,31.0,45.0,26.0,40.0,52.0,40.0,36.0,44.0,38.0,30.0,16.0,21.0,39.0,37.0,49.0,46.0,46.0,52.0,54.0,59.0,50.0,48.0,40.0,20.0,28.0,46.0,54.0,37.0,29.0,42.0,32.0,50.0,50.0,54.0,54.0,64.0,53.0,59.0,39.0,27.0,30.0,25.0,29.0,29.0,32.0,44.0,37.0,41.0,20.0,20.0,23.0,15.0,https://cdn.ssref.net/req/202301032/tlogo/bbr/DET.png,Detroit Pistons,#C8102E,Detroit Pistons
,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denver Nuggets
,,22.0,41.0,32.0,29.0,36.0,40.0,43.0,37.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ft. Wayne Zollner Pistons
,,,,,,,,,,,,,,,,,,,,,,,,,51.0,47.0,44.0,48.0,59.0,46.0,43.0,38.0,24.0,39.0,45.0,30.0,37.0,22.0,30.0,42.0,20.0,37.0,44.0,55.0,34.0,50.0,26.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.ssref.net/req/202301032/tlogo/bbr/GSW.png,Golden State Warriors,#F05722,Golden State Warriors
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,19.0,21.0,19.0,17.0,21.0,38.0,37.0,34.0,34.0,42.0,48.0,29.0,26.0,36.0,23.0,47.0,51.0,67.0,73.0,67.0,57.0,15.0,39.0,53.0,35.0,https://cdn.ssref.net/req/202301032/tlogo/bbr/GSW.png,Golden State Warriors,#F05722,Golden State Warriors
,,,,,,,,,,,,,,,,,,,,,,,,,34.0,33.0,32.0,41.0,40.0,49.0,28.0,47.0,41.0,40.0,46.0,14.0,29.0,48.0,51.0,42.0,46.0,41.0,52.0,42.0,55.0,58.0,47.0,48.0,57.0,41.0,31.0,34.0,45.0,28.0,43.0,45.0,51.0,34.0,52.0,55.0,53.0,42.0,43.0,34.0,45.0,54.0,56.0,41.0,55.0,53.0,44.0,17.0,20.0,14.0,https://cdn.ssref.net/req/202301032/tlogo/bbr/HOU.png,Houston Rockets,#CE122E,Houston Rockets
22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toronto Huskies
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,31.0,38.0,37.0,44.0,35.0,20.0,26.0,22.0,26.0,41.0,38.0,42.0,41.0,40.0,41.0,47.0,52.0,52.0,39.0,58.0,33.0,56.0,41.0,42.0,48.0,61.0,44.0,41.0,35.0,36.0,36.0,32.0,37.0,42.0,49.0,56.0,38.0,45.0,42.0,48.0,45.0,34.0,25.0,31.0,https://cdn.ssref.net/req/202301032/tlogo/bbr/IND.png,Indiana Pacers,#002D62,Indiana Pacers
,,,39.0,31.0,34.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.ssref.net/req/202301032/tlogo/bbr/INO.png,Indianapolis Olympians,#0047AB,Indianapolis Olympians
,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indianapolis Jets
